# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
470.4 (0.0,0.0,0.0)
470.6 (0.0,0.0,0.0)
470.8 (0.0,0.0,0.0)
471.0 (0.0,0.0,0.0)
471.2 (0.0,0.0,0.0)
471.4 (0.0,0.0,0.0)
471.6 (0.0,0.0,0.0)
471.8 (0.0,0.0,0.0)
472.0 (0.0,0.0,0.0)
472.2 (0.0,0.0,0.0)
472.4 (0.0,0.0,0.0)
472.6 (0.0,0.0,0.0)
472.8 (0.0,0.0,0.0)
473.0 (0.0,0.0,0.0)
473.2 (0.0,0.0,0.0)
473.4 (0.0,0.0,0.0)
473.6 (0.0,0.0,0.0)
473.8 (0.0,0.0,0.0)
474.0 (0.0,0.0,0.0)
474.2 (0.0,0.0,0.0)
474.4 (0.0,0.0,0.0)
474.6 (0.0,0.0,0.0)
474.8 (0.0,0.0,0.0)
475.0 (0.0,0.0,0.0)
475.2 (0.0,0.0,0.0)
475.4 (0.0,0.0,0.0)
475.6 (0.0,0.0,0.0)
475.8 (0.0,0.0,0.0)
476.0 (0.0,0.0,0.0)
476.2 (0.0,0.0,0.0)
476.4 (0.0,0.0,0.0)
476.6 (0.0,0.0,0.0)
476.8 (0.0,0.0,0.0)
477.0 (0.0,0.0,0.0)
477.2 (0.0,0.0,0.0)
477.4 (0.0,0.0,0.0)
477.6 (0.0,0.0,0.0)
477.8 (0.0,0.0,0.0)
478.0 (0.0,0.0,0.0)
478.2 (0.0,0.0,0.0)
478.4 (0.0,0.0,0.0)
478.6 (0.0,0.0,0.0)
478.8 (0.0,0.0,0.0)
479.0 (0.0,0.0,0.0)
479.2 (0.0,0.0,0.0)
479.4 (0.0,0.0,0.0)
479.6 (0.0,0.0,0.0)
479.8 (0.0,0.0,0.0)
480.0 (0.0,0.0,0.0)
480.2 (0.0,0.0,0.0)
480.4 (0.0,0.0,0.0)
480.6 (0.0,0.0,0.0)
480.8 (0.0,0.0,0.0)
481.0 (0.0,0.0,0.0)
481.2 (0.0,0.0,0.0)
481.4 (0.0,0.0,0.0)
481.6 (0.0,0.0,0.0)
481.8 (0.0,0.0,0.0)
482.0 (0.0,0.0,0.0)
482.2 (0.0,0.0,0.0)
482.4 (0.0,0.0,0.0)
482.6 (0.0,0.0,0.0)
482.8 (0.0,0.0,0.0)
483.0 (0.0,0.0,0.0)
483.2 (0.0,0.0,0.0)
483.4 (0.0,0.0,0.0)
483.6 (0.0,0.0,0.0)
483.8 (0.0,0.0,0.0)
484.0 (0.0,0.0,0.0)
484.2 (0.0,0.0,0.0)
484.4 (0.0,0.0,0.0)
484.6 (0.0,0.0,0.0)
484.8 (0.0,0.0,0.0)
485.0 (0.0,0.0,0.0)
485.2 (0.0,0.0,0.0)
485.4 (0.0,0.0,0.0)
485.6 (0.0,0.0,0.0)
485.8 (0.0,0.0,0.0)
486.0 (0.0,0.0,0.0)
486.2 (0.0,0.0,0.0)
486.4 (0.0,0.0,0.0)
486.6 (0.0,0.0,0.0)
486.8 (0.0,0.0,0.0)
487.0 (0.0,0.0,0.0)
487.2 (0.0,0.0,0.0)
487.4 (0.0,0.0,0.0)
487.6 (0.0,0.0,0.0)
487.8 (0.0,0.0,0.0)
488.0 (0.0,0.0,0.0)
488.2 (0.0,0.0,0.0)
488.4 (0.0,0.0,0.0)
488.6 (0.0,0.0,0.0)
488.8 (0.0,0.0,0.0)
489.0 (0.0,0.0,0.0)
489.2 (0.0,0.0,0.0)
489.4 (0.0,0.0,0.0)
489.6 (0.0,0.0,0.0)
489.8 (0.0,0.0,0.0)
490.0 (0.0,0.0,0.0)
490.2 (0.0,0.0,0.0)
490.4 (-6.10347096237e-12,9.93934171511e-12,8.64503447503e-11)
490.6 (-9.25451515079e-12,-6.47359684986e-13,-6.83479710303e-12)
490.8 (9.22111346237e-12,6.44170985066e-13,6.08504143758e-12)
491.0 (-6.61034134378e-11,-7.71898068797e-12,-7.101620239e-11)
491.2 (6.44894131175e-11,9.00875273316e-12,7.54678286338e-11)
491.4 (8.98371223867e-12,3.06379958829e-13,2.90114079087e-12)
491.6 (-1.65380381513e-11,3.52583426536e-12,2.94942437613e-11)
491.8 (8.07546732103e-12,-2.93549895997e-12,-2.95406263094e-11)
492.0 (-1.29319746594e-12,-1.29522315139e-13,-2.5462245179e-12)
492.2 (1.2312495798e-12,2.66395083187e-13,1.70116311775e-12)
492.4 (1.37665661366e-11,2.8447236565e-12,3.09911661354e-11)
492.6 (9.42915535209e-10,6.27932184075e-11,6.92643824136e-10)
492.8 (-9.17707903723e-10,-5.98293459321e-11,-6.68590964128e-10)
493.0 (-1.38094364305e-10,2.0120643327e-11,1.90361203183e-10)
493.2 (-9.70684099531e-11,-1.60110276254e-11,-1.878024347e-10)
493.4 (9.79395743467e-10,7.40991680113e-11,7.59065959052e-10)
493.6 (-8.28257668672e-10,-7.95712353993e-11,-7.9761431985e-10)
493.8 (7.02650219494e-11,-1.20625333352e-12,-1.20799901547e-11)
494.0 (-7.5782349483e-10,1.39830044334e-11,1.02945593694e-10)
494.2 (7.63886182325e-10,-1.32313856844e-11,-1.10948551355e-10)
494.4 (-2.24689736417e-10,4.08633976763e-11,3.54676897828e-10)
494.6 (7.07581493885e-10,7.09918990412e-12,1.0010464974e-10)
494.8 (-1.90176865918e-10,-1.65778486442e-11,-1.76323718967e-10)
495.0 (-2.75704215427e-10,-4.35057820968e-11,-4.21690933794e-10)
495.2 (-2.50898264972e-11,4.9580288081e-12,5.00117275922e-11)
495.4 (3.17183791342e-11,1.30377392693e-11,1.21325403317e-10)
495.6 (3.18941287846e-10,4.21454003755e-11,3.19342424292e-10)
495.8 (-3.55792321338e-10,-4.67444206397e-11,-3.73507094083e-10)
496.0 (-6.37226148463e-12,1.67271372225e-12,1.53468723517e-11)
496.2 (2.04610885179e-10,7.81881831234e-12,1.17514406306e-10)
496.4 (-3.04806589743e-13,3.78795939383e-11,3.08724734248e-10)
496.6 (-2.35565096736e-10,-4.50483767803e-11,-4.37497351186e-10)
496.8 (2.21824479519e-10,4.64551073369e-11,4.02154159291e-10)
497.0 (3.30511584442e-10,-3.48245461425e-11,-3.08193874432e-10)
497.2 (-8.93850337638e-10,1.13236776562e-11,1.09825011391e-10)
497.4 (4.03999013271e-10,-1.54315142019e-11,-1.51086912583e-10)
497.6 (5.26828303506e-11,2.6097472833e-11,2.59588707238e-10)
497.8 (4.58774098201e-11,-3.79767241767e-11,-3.7144941839e-10)
498.0 (6.39133715376e-10,4.87527198023e-12,6.03811001959e-11)
498.2 (-8.14872485188e-10,-1.56692611535e-11,-1.99146296167e-10)
498.4 (2.2434817552e-10,1.09932629927e-10,1.01602133943e-09)
498.6 (-2.80899398565e-10,-9.69192627836e-11,-9.17319772063e-10)
498.8 (6.8011060751e-11,3.40362738407e-11,3.31623576005e-10)
499.0 (6.39619874161e-10,9.0914856915e-11,9.09864197587e-10)
499.2 (3.18858270072e-10,-1.56247639683e-10,-1.49150059694e-09)
499.4 (-1.90030285137e-09,1.65043768359e-10,1.4727180621e-09)
499.6 (1.50560207871e-09,-1.03014335112e-10,-9.83197306537e-10)
499.8 (-8.01145411949e-10,8.77525888194e-11,8.0985374204e-10)
500.0 (1.95260025173e-09,2.11615892504e-11,1.0575719337e-10)
500.2 (-7.17618380169e-10,-3.24501307412e-11,-1.98922383836e-10)
500.4 (-1.48053114025e-09,-8.60387040809e-11,-9.38996380419e-10)
500.6 (1.02405267533e-09,9.46220779975e-11,8.64683741451e-10)
500.8 (4.02349759143e-11,2.35170879928e-12,6.49455433831e-11)
501.0 (-1.69339223326e-09,4.86863986e-11,6.22136330111e-11)
501.2 (7.20840824744e-10,-1.31244693868e-10,-1.05978178783e-09)
501.4 (1.98779629845e-09,5.43173353244e-11,6.29963579893e-10)
501.6 (-8.87218469171e-10,1.17969851657e-10,9.05569014117e-10)
501.8 (-1.58882665995e-09,-6.74542463163e-12,-1.13535966472e-12)
502.0 (1.76038265225e-09,-4.75042144956e-11,-5.49018820972e-10)
502.2 (-5.46552094225e-10,-7.06264795203e-11,-6.64310395709e-10)
502.4 (-5.68290749595e-10,-9.55572214712e-11,-8.56435050688e-10)
502.6 (1.37813024871e-09,2.40511075199e-10,2.01646462087e-09)
502.8 (1.60470559257e-10,6.49673730024e-12,1.52454312222e-10)
503.0 (-4.84510069227e-10,-1.26986862354e-10,-1.38696052955e-09)
503.2 (-2.44201787049e-09,1.12392675178e-10,9.80943719682e-10)
503.4 (1.80601443703e-09,9.72549435969e-11,1.04882572086e-09)
503.6 (6.08051413047e-10,-3.22925880226e-10,-3.110458926e-09)
503.8 (4.72281433505e-10,-2.31437388547e-11,-6.5987526951e-10)
504.0 (8.44716128266e-10,-3.02372986259e-11,-1.41961140217e-10)
504.2 (-5.48757727664e-10,6.4490080831e-10,5.95243672069e-09)
504.4 (3.41252887934e-09,-8.13044096141e-10,-7.59214243433e-09)
504.6 (-3.06015371218e-09,1.48788366349e-10,1.10655499872e-09)
504.8 (-2.19261910212e-09,6.91265280811e-10,6.43396167294e-09)
505.0 (-1.63542923581e-10,-3.79492279573e-10,-4.14882827853e-09)
505.2 (1.2442602334e-09,2.55746950036e-10,2.45157256414e-09)
505.4 (3.93409475948e-09,-2.80023692516e-13,-2.13890825057e-10)
505.6 (-4.44648312859e-09,-5.3642548133e-10,-5.32484245869e-09)
505.8 (-5.10415454034e-09,1.74444632761e-10,1.20160033168e-09)
506.0 (4.02648571394e-09,4.31061140384e-10,4.41683166419e-09)
506.2 (2.33611739389e-10,2.43834856197e-10,2.40285272417e-09)
506.4 (-3.68900512762e-09,-3.56337384077e-11,-1.3926563133e-09)
506.6 (2.49856947726e-09,4.14480676355e-10,3.8635050582e-09)
506.8 (1.20528848293e-09,-4.04612725909e-10,-3.98178837639e-09)
507.0 (3.5931413858e-09,6.85697405341e-11,1.89036689242e-10)
507.2 (2.9935195947e-09,-1.94634747689e-10,-2.29841794712e-09)
507.4 (-5.05413729122e-09,5.2112359758e-11,-1.20496823878e-09)
507.6 (7.05879327853e-10,5.56330069468e-10,6.57294642712e-09)
507.8 (-4.0907878758e-09,-7.84525578614e-10,-8.38942177735e-09)
508.0 (4.24431495995e-09,9.34325317075e-10,8.97277177089e-09)
508.2 (-3.05871702053e-09,-1.22014525765e-09,-1.24242935093e-08)
508.4 (3.07912973382e-09,7.93502412385e-10,7.32516184729e-09)
508.6 (3.07712316779e-09,-6.39986431501e-11,-2.08091214388e-09)
508.8 (-3.50954059357e-09,1.32415385786e-09,1.29226859493e-08)
509.0 (-2.63531247794e-09,-1.12119942374e-09,-1.22320421709e-08)
509.2 (5.19950057544e-09,-4.72231173857e-10,-4.94341616277e-09)
509.4 (3.07027203879e-10,2.03525134495e-10,1.64233361184e-09)
509.6 (-6.13823335285e-10,1.29971306124e-09,1.17464271349e-08)
509.8 (1.4108564513e-10,-1.15895055347e-10,-1.81008214558e-09)
510.0 (-6.81170337592e-10,2.72802650421e-10,1.96774581074e-09)
510.2 (-1.60860077136e-09,-9.89389243877e-10,-1.08119768029e-08)
510.4 (-7.60566799595e-09,1.3421585889e-09,1.18556707786e-08)
510.6 (6.48827179586e-09,3.98444008484e-10,3.47170081209e-09)
510.8 (-7.14345377832e-09,-4.7173728606e-10,-6.20394717185e-09)
511.0 (1.73494357759e-09,2.181479243e-10,1.71378066783e-09)
511.2 (1.16248466502e-08,9.27745959425e-11,6.61905677486e-11)
511.4 (-9.97523928712e-09,3.61944350629e-10,2.27073934855e-09)
511.6 (8.59979405087e-10,-6.51577021388e-10,-6.83785513585e-09)
511.8 (-4.5532028582e-09,5.95886926529e-10,3.7796875701e-09)
512.0 (8.13559690427e-09,6.58724218524e-10,6.61728544386e-09)
512.2 (-2.98455881256e-09,-7.26098735713e-10,-8.69933227888e-09)
512.4 (6.92548486027e-09,-2.65990524204e-10,-4.20197726702e-09)
512.6 (-2.43968215725e-09,8.09773734837e-10,7.95334377285e-09)
512.8 (-5.12025995592e-09,-6.6930013257e-10,-8.42344176425e-09)
513.0 (8.68942099899e-09,7.72399577761e-10,6.96241509857e-09)
513.2 (-5.12344014188e-09,2.86376311985e-10,2.25823634144e-09)
513.4 (3.78785165804e-09,-6.14010853012e-10,-6.87209913033e-09)
513.6 (1.10844414991e-09,-6.29717356092e-10,-8.34753512327e-09)
513.8 (-3.02592849029e-09,4.23700288519e-10,3.79468720942e-09)
