# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
470.4 (0,0,0)
470.6 (0,0,0)
470.8 (0,0,0)
471 (0,0,0)
471.2 (0,0,0)
471.4 (0,0,0)
471.6 (0,0,0)
471.8 (0,0,0)
472 (0,0,0)
472.2 (0,0,0)
472.4 (0,0,0)
472.6 (0,0,0)
472.8 (0,0,0)
473 (0,0,0)
473.2 (0,0,0)
473.4 (0,0,0)
473.6 (0,0,0)
473.8 (0,0,0)
474 (0,0,0)
474.2 (0,0,0)
474.4 (0,0,0)
474.6 (0,0,0)
474.8 (0,0,0)
475 (0,0,0)
475.2 (0,0,0)
475.4 (0,0,0)
475.6 (0,0,0)
475.8 (0,0,0)
476 (0,0,0)
476.2 (0,0,0)
476.4 (0,0,0)
476.6 (0,0,0)
476.8 (0,0,0)
477 (0,0,0)
477.2 (0,0,0)
477.4 (0,0,0)
477.6 (0,0,0)
477.8 (0,0,0)
478 (0,0,0)
478.2 (0,0,0)
478.4 (0,0,0)
478.6 (0,0,0)
478.8 (0,0,0)
479 (0,0,0)
479.2 (0,0,0)
479.4 (0,0,0)
479.6 (0,0,0)
479.8 (0,0,0)
480 (0,0,0)
480.2 (0,0,0)
480.4 (0,0,0)
480.6 (0,0,0)
480.8 (0,0,0)
481 (0,0,0)
481.2 (0,0,0)
481.4 (0,0,0)
481.6 (0,0,0)
481.8 (0,0,0)
482 (0,0,0)
482.2 (0,0,0)
482.4 (0,0,0)
482.6 (0,0,0)
482.8 (0,0,0)
483 (0,0,0)
483.2 (0,0,0)
483.4 (0,0,0)
483.6 (0,0,0)
483.8 (0,0,0)
484 (0,0,0)
484.2 (0,0,0)
484.4 (0,0,0)
484.6 (0,0,0)
484.8 (0,0,0)
485 (0,0,0)
485.2 (0,0,0)
485.4 (0,0,0)
485.6 (0,0,0)
485.8 (0,0,0)
486 (0,0,0)
486.2 (0,0,0)
486.4 (0,0,0)
486.6 (0,0,0)
486.8 (0,0,0)
487 (0,0,0)
487.2 (0,0,0)
487.4 (0,0,0)
487.6 (0,0,0)
487.8 (0,0,0)
488 (0,0,0)
488.2 (0,0,0)
488.4 (0,0,0)
488.6 (0,0,0)
488.8 (0,0,0)
489 (0,0,0)
489.2 (0,0,0)
489.4 (0,0,0)
489.6 (0,0,0)
489.8 (0,0,0)
490 (0,0,0)
490.2 (0,0,0)
490.4 (-6.103470962375e-12,9.93934171511339e-12,8.64503447503149e-11)
490.6 (-9.25451515078745e-12,-6.47359684985736e-13,-6.8347971030277e-12)
490.8 (9.22111346237115e-12,6.44170985066015e-13,6.08504143758172e-12)
491 (-6.61034134378112e-11,-7.71898068796687e-12,-7.10162023899555e-11)
