# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
496.4 (0,0,0)
496.6 (0,0,0)
496.8 (0,0,0)
497 (0,0,0)
497.2 (0,0,0)
497.4 (0,0,0)
497.6 (0,0,0)
497.8 (0,0,0)
498 (0,0,0)
498.2 (0,0,0)
498.4 (0,0,0)
498.6 (0,0,0)
498.8 (0,0,0)
499 (0,0,0)
499.2 (0,0,0)
499.4 (0,0,0)
499.6 (0,0,0)
499.8 (0,0,0)
500 (0,0,0)
500.2 (0,0,0)
500.4 (0,0,0)
500.6 (0,0,0)
500.8 (0,0,0)
501 (0,0,0)
501.2 (0,0,0)
501.4 (0,0,0)
501.6 (0,0,0)
501.8 (0,0,0)
502 (0,0,0)
502.2 (0,0,0)
502.4 (0,0,0)
502.6 (0,0,0)
502.8 (0,0,0)
503 (0,0,0)
503.2 (0,0,0)
503.4 (0,0,0)
503.6 (0,0,0)
503.8 (0,0,0)
504 (0,0,0)
504.2 (0,0,0)
504.4 (0,0,0)
504.6 (0,0,0)
504.8 (0,0,0)
505 (0,0,0)
505.2 (0,0,0)
505.4 (0,0,0)
505.6 (0,0,0)
505.8 (0,0,0)
506 (0,0,0)
506.2 (0,0,0)
506.4 (0,0,0)
506.6 (0,0,0)
506.8 (0,0,0)
507 (0,0,0)
507.2 (0,0,0)
507.4 (0,0,0)
507.6 (0,0,0)
507.8 (0,0,0)
508 (0,0,0)
508.2 (0,0,0)
508.4 (0,0,0)
508.6 (0,0,0)
508.8 (0,0,0)
509 (0,0,0)
509.2 (0,0,0)
509.4 (0,0,0)
509.6 (0,0,0)
509.8 (0,0,0)
510 (0,0,0)
510.2 (0,0,0)
510.4 (0,0,0)
510.6 (0,0,0)
510.8 (0,0,0)
511 (0,0,0)
511.2 (0,0,0)
511.4 (0,0,0)
511.6 (0,0,0)
511.8 (0,0,0)
512 (0,0,0)
512.2 (0,0,0)
512.4 (0,0,0)
512.6 (0,0,0)
512.8 (0,0,0)
513 (0,0,0)
513.2 (0,0,0)
513.4 (0,0,0)
513.6 (0,0,0)
513.8 (0,0,0)
514 (0,0,0)
514.2 (0,0,0)
514.4 (0,0,0)
514.6 (0,0,0)
514.8 (0,0,0)
515 (0,0,0)
515.2 (0,0,0)
515.4 (0,0,0)
515.6 (0,0,0)
515.8 (0,0,0)
516 (0,0,0)
516.2 (0,0,0)
516.4 (3.031494753024e-13,-1.13616935720775e-12,-6.9134670365721e-12)
516.6 (1.19585436849438e-13,1.54090711030615e-12,1.15236280931362e-11)
516.8 (7.00318509165865e-13,-2.40047772977399e-12,-3.22474615550677e-11)
517 (-1.77440261132089e-11,1.84630368677866e-11,1.9417153124312e-10)
517.2 (3.35861426048659e-11,2.35847251782178e-12,2.84757782474544e-11)
517.4 (-3.94989432014443e-11,-8.56429859055499e-13,-1.16755678482547e-11)
517.6 (6.04057676461502e-12,-1.05556489868483e-12,-1.16976287187396e-11)
517.8 (-1.65573558467645e-14,-1.01559783495646e-15,-1.21483966975622e-14)
518 (2.03508022832674e-12,1.15423544597983e-12,1.31044609217761e-11)
518.2 (-2.03866922882813e-12,-1.15053460559387e-12,-1.31340867548398e-11)
518.4 (1.39243313175648e-14,2.66426064576165e-15,2.72579917004686e-14)
518.6 (-1.50783045274173e-12,2.97201601301082e-13,3.28774370173103e-12)
518.8 (1.54057182564208e-12,-3.01740894558702e-13,-3.34876291160602e-12)
519 (7.02860645317821e-12,-1.74871926175685e-12,-1.94784866571042e-11)
519.2 (-7.02175781650775e-12,1.74335330521243e-12,1.93954470172881e-11)
519.4 (-2.17100784450533e-12,-3.14855783997582e-13,-3.6669089082521e-12)
519.6 (-7.61409757533869e-13,-8.41025300763904e-13,-8.6920581505074e-12)
519.8 (3.14035630874852e-12,-1.765496884229e-13,-2.74104120508068e-12)
520 (-6.71359473210619e-12,-6.95835118726111e-15,-4.23074950722655e-13)
520.2 (-1.07571332156564e-12,7.92227890487558e-13,8.93753184481606e-12)
520.4 (4.28617121127445e-11,1.90523061129865e-12,2.4129962799602e-11)
520.6 (-3.5221025335046e-11,-1.35589803036307e-12,-1.75221207006749e-11)
520.8 (-1.1732660966745e-11,-8.75982813685417e-13,-9.00312522450201e-12)
521 (3.04004353640381e-11,-6.34779343562882e-13,-6.70561968495984e-12)
521.2 (-4.05563156511728e-11,1.86358128729157e-13,-7.46762550622972e-13)
521.4 (2.17938636022912e-11,1.33026094040889e-12,1.63443127702413e-11)
521.6 (-1.31229111515766e-11,-3.33169487964565e-13,-4.71171044614925e-12)
521.8 (1.45000728223502e-11,2.13265423853627e-13,3.39030803470613e-12)
522 (-6.58738198361432e-12,-1.27203332106975e-12,-1.45781300320133e-11)
522.2 (-2.07138899897765e-13,1.41946100234683e-12,1.61252362173116e-11)
522.4 (-1.64704430448123e-11,-6.4524468047021e-13,-6.64176533557575e-12)
522.6 (2.06463214661592e-11,1.46584267635541e-13,1.26941221773159e-12)
522.8 (1.43092765107344e-11,-1.24936206711065e-12,-1.16516265763483e-11)
523 (-2.81653254972426e-11,5.26657839128262e-12,5.59297038480282e-11)
523.2 (7.93882220327388e-12,-2.43160870716616e-12,-2.7993802172484e-11)
523.4 (-1.31355691219189e-10,2.8981186847762e-12,1.95227464179861e-11)
523.6 (1.3723821603862e-10,-2.53398463505637e-12,-1.61485499106196e-11)
523.8 (1.83904848066858e-11,3.7547239392118e-13,4.5132060255997e-12)
524 (-1.78611485376055e-11,-2.74235591376758e-12,-2.943539405313e-11)
524.2 (1.16565528255483e-12,1.39662282737321e-12,1.48007468654785e-11)
524.4 (-3.72073752372597e-11,-9.09043059258984e-13,-9.59837700881797e-12)
524.6 (4.04544671907947e-11,7.7303697979486e-13,9.79435100700456e-12)
524.8 (-9.58146892802748e-12,-4.42384422513871e-13,-7.420048522946e-12)
525 (1.87840606096126e-12,2.70740142816796e-12,3.15650743218496e-11)
525.2 (-2.49583371701017e-11,-5.38390555023386e-12,-6.36360415926992e-11)
525.4 (4.28855580699946e-11,2.062030286361e-12,2.39358604934948e-11)
525.6 (-1.85495202885074e-11,-1.96946958939884e-12,-2.15852388141803e-11)
525.8 (-1.1490292714016e-11,3.1890196561797e-12,3.6395743560966e-11)
526 (4.50053507341489e-11,-5.97840006506958e-12,-6.39733816438504e-11)
526.2 (-7.95861933974149e-11,8.40948163278783e-12,8.78082465830547e-11)
526.4 (5.27984037663119e-11,-1.11042004860883e-12,-1.16900556038658e-11)
526.6 (2.28686095695194e-11,-6.20800694737603e-13,-5.15058953224971e-12)
526.8 (-2.34311215394323e-12,3.26448270435983e-12,3.60492871422559e-11)
527 (-3.38203400127288e-11,-3.26690710976765e-12,-3.83913219466663e-11)
527.2 (-9.51676126687618e-12,3.97961233174981e-13,2.51945631872616e-12)
527.4 (2.68187264041986e-11,1.30058842851809e-12,1.40854430066609e-11)
527.6 (-1.35318110160799e-11,6.36938921786045e-13,8.45073062708707e-12)
527.8 (8.19218746537306e-12,8.25853931478538e-13,1.12332983067344e-11)
528 (-4.38504590455776e-11,-4.447963469269e-12,-4.99610247580581e-11)
528.2 (5.10790227378861e-11,-1.1631982749942e-12,-8.23246142765162e-12)
528.4 (-6.12429378691187e-11,3.36058523052771e-12,2.81318838838473e-11)
528.6 (4.02926177184573e-11,-4.62729396108494e-13,-5.53586341544544e-12)
528.8 (-4.82319928957343e-12,3.50349509554729e-13,5.80563132021519e-12)
529 (9.74102027508009e-12,3.73965103682365e-12,3.95331899654881e-11)
529.2 (-5.87815439928984e-11,-1.77390965719698e-12,-2.23584088964468e-11)
529.4 (4.41860220427946e-11,-2.34167853995825e-12,-2.16580469928832e-11)
529.6 (-2.30679550095807e-11,1.62521154065455e-12,1.51532071950395e-11)
529.8 (3.41602979160638e-11,1.43360786850297e-13,1.8715161665498e-12)
530 (-2.7085471094592e-11,-4.09370901131439e-12,-4.56710815816636e-11)
530.2 (3.24465974785191e-11,5.79497168579247e-12,6.465914186555e-11)
530.4 (-9.18485277574882e-12,-7.54220300245153e-13,-8.54007543692685e-12)
530.6 (9.66704924949979e-12,-1.08158113571285e-12,-1.243023067733e-11)
530.8 (2.95775963350224e-11,1.84139607096287e-12,2.45266599455643e-11)
531 (8.08924016870364e-12,-4.31660035691506e-12,-5.11268668289538e-11)
531.2 (-1.60291729390688e-11,3.02790151396761e-12,3.225222045482e-11)
531.4 (1.45908986956699e-11,-1.18696164310818e-13,3.69297569319813e-13)
531.6 (2.20645433359708e-11,-8.20827051204818e-13,-7.35071415962168e-12)
531.8 (-4.36269254858525e-11,1.53576215868523e-13,-2.10946810799415e-12)
532 (5.97598814897022e-11,3.64893161165337e-12,4.27174033521817e-11)
532.2 (-3.91478357888337e-11,-1.82435924348013e-12,-2.35234166473121e-11)
532.4 (-2.46965841178914e-11,-2.29477902610341e-12,-2.9831556233633e-11)
532.6 (-7.42065629638453e-11,4.02043876325438e-12,4.33609067147433e-11)
532.8 (1.50601172480628e-11,-3.3118676436866e-12,-3.19125935861033e-11)
533 (4.86732132928141e-11,6.99387414805115e-12,8.01762619539523e-11)
533.2 (-1.90157278606456e-11,-2.36605625016107e-12,-2.90176149980842e-11)
533.4 (-2.10904027213642e-11,-3.39049138523975e-12,-3.8202753831214e-11)
533.6 (-1.10727103247554e-11,-2.86645782158838e-13,-2.75893551333401e-12)
