# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
478 (0,0,0)
478.2 (0,0,0)
478.4 (0,0,0)
478.6 (0,0,0)
478.8 (0,0,0)
479 (0,0,0)
479.2 (0,0,0)
479.4 (0,0,0)
479.6 (0,0,0)
479.8 (0,0,0)
480 (0,0,0)
480.2 (0,0,0)
480.4 (0,0,0)
480.6 (0,0,0)
480.8 (0,0,0)
481 (0,0,0)
481.2 (0,0,0)
481.4 (0,0,0)
481.6 (0,0,0)
481.8 (0,0,0)
482 (0,0,0)
482.2 (0,0,0)
482.4 (0,0,0)
482.6 (0,0,0)
482.8 (0,0,0)
483 (0,0,0)
483.2 (0,0,0)
483.4 (0,0,0)
483.6 (0,0,0)
483.8 (0,0,0)
484 (0,0,0)
484.2 (0,0,0)
484.4 (0,0,0)
484.6 (0,0,0)
484.8 (0,0,0)
485 (0,0,0)
485.2 (0,0,0)
485.4 (0,0,0)
485.6 (0,0,0)
485.8 (0,0,0)
486 (0,0,0)
486.2 (0,0,0)
486.4 (0,0,0)
486.6 (0,0,0)
486.8 (0,0,0)
487 (0,0,0)
487.2 (0,0,0)
487.4 (0,0,0)
487.6 (0,0,0)
487.8 (0,0,0)
488 (0,0,0)
488.2 (0,0,0)
488.4 (0,0,0)
488.6 (0,0,0)
488.8 (0,0,0)
489 (0,0,0)
489.2 (0,0,0)
489.4 (0,0,0)
489.6 (0,0,0)
489.8 (0,0,0)
490 (0,0,0)
490.2 (0,0,0)
490.4 (0,0,0)
490.6 (0,0,0)
490.8 (0,0,0)
491 (0,0,0)
491.2 (0,0,0)
491.4 (0,0,0)
491.6 (0,0,0)
491.8 (0,0,0)
492 (0,0,0)
492.2 (0,0,0)
492.4 (0,0,0)
492.6 (0,0,0)
492.8 (0,0,0)
493 (0,0,0)
493.2 (0,0,0)
493.4 (0,0,0)
493.6 (0,0,0)
493.8 (0,0,0)
494 (0,0,0)
494.2 (0,0,0)
494.4 (0,0,0)
494.6 (0,0,0)
494.8 (0,0,0)
495 (0,0,0)
495.2 (0,0,0)
495.4 (0,0,0)
495.6 (0,0,0)
495.8 (0,0,0)
496 (0,0,0)
496.2 (0,0,0)
496.4 (0,0,0)
496.6 (0,0,0)
496.8 (0,0,0)
497 (0,0,0)
497.2 (0,0,0)
497.4 (0,0,0)
497.6 (0,0,0)
497.8 (0,0,0)
498 (1.06997140069489e-12,1.06068928712253e-12,1.04425387845783e-11)
498.2 (-4.31353069948933e-12,-7.9240580651878e-13,-9.72869221641916e-12)
498.4 (2.85546215000665e-12,-1.0783305653857e-14,-5.80650216390178e-13)
498.6 (0,0,0)
498.8 (0,0,0)
499 (-1.53777399136981e-13,-3.71202686440742e-15,-8.01373774982186e-14)
499.2 (-1.14679406599446e-14,-2.771896547461e-13,-2.68442097986115e-12)
499.4 (-2.39407358990217e-12,6.56045939298888e-12,6.37783579810175e-11)
499.6 (2.52202052625116e-10,1.82277335616354e-11,1.6000897651015e-10)
499.8 (-2.45172622400027e-10,-2.38453062280638e-11,-2.15124205870118e-10)
500 (1.03431110025424e-10,-4.63926240477444e-11,-4.48378048547144e-10)
500.2 (-5.78016744570673e-11,6.4520067115973e-11,6.09582770108407e-10)
500.4 (-4.64252071760899e-11,-1.53825159595696e-11,-1.35266462525234e-10)
500.6 (-4.84898483729459e-11,1.71101643981573e-12,1.80275707553803e-11)
500.8 (4.82364082774807e-11,-2.599457384207e-12,-2.77205199037808e-11)
501 (0,0,0)
501.2 (-2.39835369274358e-12,4.14689652110648e-13,3.46121560894867e-12)
501.4 (-2.39760351387031e-11,1.83627042684877e-12,1.95378784883617e-11)
501.6 (2.16272711329546e-10,3.1521938011629e-13,-7.12286748406608e-12)
501.8 (-1.21713468427126e-10,1.87782878527866e-12,2.11453098979501e-11)
502 (5.52176988871919e-11,4.42632603863851e-12,1.69427207137299e-12)
502.2 (1.92334606538446e-10,-2.21714871874633e-11,-2.08922780042122e-10)
502.4 (-4.54725733405015e-10,-4.45742343792989e-12,-1.97172633600607e-12)
502.6 (1.35605790996532e-10,2.00913659174991e-11,1.77555103663988e-10)
502.8 (8.30766133311587e-12,8.29698753789081e-13,8.22178027274086e-12)
503 (6.5437323809727e-10,-2.51177684904293e-11,-2.93314537398802e-10)
503.2 (-4.83328046011863e-10,5.60929168630464e-11,5.76353991919061e-10)
503.4 (-3.68417034144406e-11,-2.76786016427256e-11,-1.502122344243e-10)
503.6 (-3.78549688842069e-11,-1.23677833012816e-11,-2.2653077202479e-10)
503.8 (9.79252389770407e-12,-7.93701852547249e-13,-8.21797106171689e-12)
504 (9.18856482728474e-12,1.7856703606796e-12,1.61256446405043e-11)
504.2 (1.61872763240892e-11,3.96277043086141e-11,3.61036077684088e-10)
504.4 (-1.03138794251972e-10,-1.17483138950535e-10,-1.13340123437527e-09)
504.6 (8.79032984757855e-10,-1.5670305436033e-12,-2.67230848577884e-11)
504.8 (-7.02348951026646e-10,1.5987723151198e-10,1.60364342098094e-09)
505 (1.69575265926086e-10,-1.50152355471376e-10,-1.55319176573587e-09)
505.2 (-3.12830077448493e-10,3.34208299226161e-11,3.86588684254687e-10)
505.4 (-2.01787335895287e-10,3.10022430309124e-11,3.13043062554551e-10)
505.6 (-6.78073828138821e-10,1.22693088376756e-10,1.12064167770615e-09)
505.8 (1.72486204288065e-10,-5.1369401540603e-11,-4.46196264221279e-10)
506 (2.26728614347361e-10,-4.06799362954234e-11,-4.40329258672727e-10)
506.2 (4.42789985685079e-10,-5.74559751050697e-12,-3.46924116041302e-11)
506.4 (1.31195939346622e-09,-4.14017539236324e-11,-3.7598966901027e-10)
506.6 (-1.26092004720341e-09,4.60929011357059e-11,4.06737777104336e-10)
506.8 (1.45181881023748e-10,-7.92524122143439e-12,-8.54411370849144e-11)
507 (-4.20975057844743e-10,5.9078782541066e-11,3.59000258304569e-10)
507.2 (-6.78562706292413e-10,-2.57530109225523e-12,1.52915424728254e-10)
507.4 (1.17426895920954e-09,-5.92670589017403e-11,-7.4697019524552e-10)
507.6 (-7.9438899960429e-10,1.69762270775107e-11,2.43476514766013e-10)
507.8 (-4.7213758337006e-10,1.31964631474826e-10,1.25934357368171e-09)
508 (5.09232960117538e-11,-9.73949289996499e-11,-9.54771879624654e-10)
508.2 (-1.99396843455292e-10,3.98846826918037e-11,3.61935971000326e-10)
508.4 (1.18148504298129e-09,4.80536183319461e-12,-4.71313282589216e-11)
508.6 (1.50377782235778e-09,-1.0957489944341e-11,-2.06203010190852e-10)
508.8 (-8.05262439538572e-10,8.71786298674918e-11,8.13091780905148e-10)
509 (-6.295592817466e-10,-7.26635674807476e-11,-5.79882528562772e-10)
509.2 (1.18334325624862e-09,5.05883841340746e-11,4.53491960982925e-10)
509.4 (9.64123442938566e-11,-1.24075743876316e-10,-1.38769356398913e-09)
509.6 (-2.93184795182737e-09,1.4973062732731e-10,1.106216246996e-09)
509.8 (2.49607939808236e-09,2.2045272189423e-10,2.28591191495917e-09)
510 (-2.13869872271335e-09,-3.30558021706496e-10,-3.29327835852866e-09)
510.2 (-3.25968585853726e-10,1.27314375542402e-10,1.18790908301828e-09)
510.4 (-9.8324680725332e-10,4.40576416330823e-11,3.891085278752e-10)
510.6 (5.74751792565023e-09,-5.95543295226312e-11,-7.46843426310749e-10)
510.8 (-4.60541002413601e-09,-3.48446785920752e-10,-3.63204461098578e-09)
511 (1.55588000043881e-09,4.6453045204683e-10,4.84569161260447e-09)
511.2 (2.75633650819489e-09,-6.59723424444195e-11,-9.23659253730088e-10)
511.4 (-3.20983479237349e-10,-1.1771140920371e-10,-1.19008738729615e-09)
511.6 (-6.74209888704293e-09,-1.21933116416761e-10,-1.43565427101464e-09)
511.8 (3.27980262733409e-09,4.77765122071992e-10,4.35253100013692e-09)
512 (3.20111989839999e-09,-6.03653271336081e-10,-5.7346603984915e-09)
512.2 (-3.98509436032238e-09,4.47435844247177e-10,4.41606681442917e-09)
512.4 (1.26214204758906e-09,-2.38853102937211e-10,-3.16363009820644e-09)
512.6 (-6.22256799549739e-10,1.15699548865319e-10,1.52667456180164e-09)
512.8 (2.82696963327902e-09,-5.42626426917759e-11,-7.65676126856399e-10)
513 (5.06307216606316e-11,4.52458579179951e-10,4.36386582503683e-09)
513.2 (-4.6956010545778e-09,-3.21358260391688e-10,-3.75409264175033e-09)
513.4 (3.16851641482789e-09,2.77859433246363e-10,2.8345366313521e-09)
513.6 (5.24032553220088e-10,-1.50338355711992e-10,-1.92520230190096e-09)
513.8 (2.08460788500103e-09,1.08673139503887e-10,1.26982772534071e-09)
514 (-5.97361807240964e-09,2.4437707600671e-10,2.07041774500355e-09)
514.2 (1.02613475717625e-08,-5.57280807676952e-10,-5.64291144510522e-09)
514.4 (-7.06830866145657e-09,-4.56982265939391e-11,-8.65674778064289e-10)
514.6 (-1.28860354019868e-09,1.14651283687432e-10,5.10902332380588e-10)
514.8 (4.26921763517985e-09,3.93200656239156e-10,4.08518142935695e-09)
515 (-2.80349234621045e-09,-3.86107016694553e-13,-1.50585962123431e-10)
515.2 (-4.76386082936185e-09,2.4986440143481e-10,2.35589934423198e-09)
515.4 (4.09904709596626e-09,-2.65040245953703e-10,-3.23786389854344e-09)
515.6 (4.05471735877166e-09,2.39921216604907e-10,2.63022448445556e-09)
515.8 (-3.75170964684129e-09,1.07289412887551e-10,4.51083267431381e-10)
516 (-1.03086731940675e-09,-1.91372598793575e-10,-2.21063028159988e-09)
516.2 (-2.51455802879552e-09,-2.16404710816294e-11,-4.05124230374226e-10)
516.4 (3.71586861804444e-09,3.9310530138103e-10,4.19903633983517e-09)
516.6 (1.25086098269956e-09,-6.24009018627997e-10,-6.6149421007801e-09)
516.8 (-2.14056128358898e-09,3.84512131951274e-11,3.07044824058201e-10)
517 (1.95475323309064e-10,-1.16460763323749e-10,-1.21804312888288e-09)
517.2 (3.81509226825378e-11,3.14098881221465e-11,4.037924661304e-10)
517.4 (-2.85849600829918e-10,-4.47718195087847e-11,-4.77008617120147e-10)
517.6 (-1.99610750521261e-10,-3.60551461247691e-11,-3.94086222306076e-10)
517.8 (2.89659704405531e-10,-1.91334502936169e-11,-1.49826273027583e-10)
518 (-6.86580670569353e-12,-6.66978895873727e-11,-6.68942899764951e-10)
518.2 (-2.69063065613294e-10,-1.05243723649872e-10,-1.17566910502024e-09)
518.4 (3.77558949193795e-10,6.37515610645217e-11,6.65669584395785e-10)
518.6 (-2.44582521130794e-10,3.790207100069e-11,4.33152370703077e-10)
518.8 (1.90302331101921e-11,-2.60818718314033e-12,-2.59765605177679e-11)
