# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
496.2 (0,0,0)
496.4 (0,0,0)
496.6 (0,0,0)
496.8 (0,0,0)
497 (0,0,0)
497.2 (0,0,0)
497.4 (0,0,0)
497.6 (0,0,0)
497.8 (0,0,0)
498 (0,0,0)
498.2 (0,0,0)
498.4 (0,0,0)
498.6 (0,0,0)
498.8 (0,0,0)
499 (0,0,0)
499.2 (0,0,0)
499.4 (0,0,0)
499.6 (0,0,0)
499.8 (0,0,0)
500 (0,0,0)
500.2 (0,0,0)
500.4 (0,0,0)
500.6 (0,0,0)
500.8 (0,0,0)
501 (0,0,0)
501.2 (0,0,0)
501.4 (0,0,0)
501.6 (0,0,0)
501.8 (0,0,0)
502 (0,0,0)
502.2 (0,0,0)
502.4 (0,0,0)
502.6 (0,0,0)
502.8 (0,0,0)
503 (0,0,0)
503.2 (0,0,0)
503.4 (0,0,0)
503.6 (0,0,0)
503.8 (0,0,0)
504 (0,0,0)
504.2 (0,0,0)
504.4 (0,0,0)
504.6 (0,0,0)
504.8 (0,0,0)
505 (0,0,0)
505.2 (0,0,0)
505.4 (0,0,0)
505.6 (0,0,0)
505.8 (0,0,0)
506 (0,0,0)
506.2 (0,0,0)
506.4 (0,0,0)
506.6 (0,0,0)
506.8 (0,0,0)
507 (0,0,0)
507.2 (0,0,0)
507.4 (0,0,0)
507.6 (0,0,0)
507.8 (0,0,0)
508 (0,0,0)
508.2 (0,0,0)
508.4 (0,0,0)
508.6 (0,0,0)
508.8 (0,0,0)
509 (0,0,0)
509.2 (0,0,0)
509.4 (0,0,0)
509.6 (0,0,0)
509.8 (0,0,0)
510 (0,0,0)
510.2 (0,0,0)
510.4 (0,0,0)
510.6 (0,0,0)
510.8 (0,0,0)
511 (0,0,0)
511.2 (0,0,0)
511.4 (0,0,0)
511.6 (0,0,0)
511.8 (0,0,0)
512 (0,0,0)
512.2 (0,0,0)
512.4 (0,0,0)
512.6 (0,0,0)
512.8 (0,0,0)
513 (0,0,0)
513.2 (0,0,0)
513.4 (0,0,0)
513.6 (0,0,0)
513.8 (0,0,0)
514 (0,0,0)
514.2 (0,0,0)
514.4 (0,0,0)
514.6 (0,0,0)
514.8 (0,0,0)
515 (0,0,0)
515.2 (0,0,0)
515.4 (0,0,0)
515.6 (0,0,0)
515.8 (0,0,0)
516 (0,0,0)
516.2 (-7.63489745455095e-13,2.28630313637155e-12,3.19040734465589e-11)
516.4 (1.18511011477485e-11,-2.84991969626279e-12,-4.07944618601233e-11)
516.6 (-2.98169284868903e-12,2.60865966016934e-11,3.08899585677622e-10)
516.8 (-9.72388046709829e-11,-1.72183523191326e-11,-1.99602397091173e-10)
517 (-8.73468408024664e-11,-9.75891339356968e-12,-1.22241603082828e-10)
517.2 (3.931216121753e-11,8.16716784160988e-12,7.07949302945551e-11)
517.4 (1.90939337637377e-11,3.25306858520365e-11,3.31818857786959e-10)
517.6 (-1.14924008195878e-10,-3.73274688039228e-11,-3.84409444580675e-10)
517.8 (9.05895085152403e-11,1.52146609225912e-11,1.58795749646155e-10)
518 (-2.09267271878298e-11,-7.73456966483603e-12,-8.40802613713e-11)
518.2 (5.4530615198377e-12,1.68104138870753e-12,1.65528257632782e-11)
518.4 (2.79220342173616e-11,-1.38546443866737e-12,-1.20007652900186e-11)
518.6 (-4.19483958674654e-11,2.94918722149044e-12,3.16079643743653e-11)
518.8 (1.02698843562001e-10,1.91876952082361e-14,1.71607681121947e-13)
519 (-5.0865945386308e-11,1.23967794366541e-11,1.28467464608485e-10)
519.2 (1.5852803213025e-11,-4.03978218096009e-12,-3.73570603310547e-11)
519.4 (4.34827986647018e-11,-7.14311563963283e-13,-1.36526871313534e-11)
519.6 (-5.84195621526794e-11,-3.55033720489203e-12,-3.80745363041625e-11)
519.8 (1.33252246805379e-10,1.11117592148937e-12,1.19797342570625e-11)
520 (-1.1549311225123e-10,-1.53647462875679e-12,-2.00570418507964e-11)
520.2 (-1.07459187014853e-11,-2.80504033025222e-12,-2.94619722414924e-11)
520.4 (4.85089953739438e-12,1.80819878491611e-12,1.57231995914557e-11)
520.6 (-6.00143948213544e-11,6.50639587548191e-12,7.09205024664695e-11)
520.8 (1.74250615033711e-11,-1.45654549936994e-12,-1.46865892157814e-11)
521 (5.72467897941191e-11,2.14620494331124e-13,-3.76416345953689e-12)
521.2 (-1.20903374109058e-10,-3.33416202242635e-12,-3.76801827237718e-11)
521.4 (-1.06167549378925e-11,8.50447617708963e-13,9.13511351489145e-12)
521.6 (1.02566525196532e-10,2.78517250759146e-12,3.03992259143806e-11)
521.8 (-5.45367441079166e-11,-4.63811751208145e-12,-5.36128911852158e-11)
522 (2.11225193345342e-11,-1.60317304830804e-12,-1.65027069625554e-11)
522.2 (-7.26976911572756e-11,-2.42122873196723e-12,-3.36792636484008e-11)
522.4 (1.24075705386616e-10,-3.19465026671744e-12,-3.96551287082086e-11)
522.6 (1.66112777930426e-10,7.90930387427341e-13,1.06156732023675e-11)
522.8 (-1.23200867073862e-10,1.609233673379e-11,1.79373834900445e-10)
523 (4.24704446029207e-11,1.17440182312132e-11,1.26048267691062e-10)
523.2 (-6.54801414954114e-11,-1.39136388602999e-11,-1.57666522879596e-10)
523.4 (-7.28046816420734e-11,-1.13792696239505e-11,-1.2216082292084e-10)
523.6 (1.23357306321378e-10,1.39631608631052e-11,1.45248130282524e-10)
523.8 (-4.66404266097037e-11,3.56041610268292e-12,3.73155882235995e-11)
524 (1.44513231851135e-10,2.63492132671856e-12,3.08321671304746e-11)
524.2 (-2.35034082496548e-10,-1.14665740333111e-11,-1.31506610591939e-10)
524.4 (4.2080368295121e-11,-1.62508509034123e-12,-1.95054261111081e-11)
524.6 (-2.34274363325517e-11,1.36372224173473e-12,1.46621196857169e-11)
524.8 (-5.90853920024116e-11,-8.69786904012845e-12,-9.77667118105806e-11)
525 (1.99523702642885e-10,1.98806262730678e-11,2.07465303907386e-10)
525.2 (8.33749995415122e-12,-1.45788200926675e-11,-1.4885273689651e-10)
525.4 (-6.83084366447484e-11,6.38716484669779e-12,6.62444129554781e-11)
525.6 (8.76062821810026e-11,-1.13100426447496e-12,-1.20887113659493e-11)
525.8 (-1.00985527347216e-10,2.340948587728e-12,2.47805629289702e-11)
526 (7.13590850269168e-11,-3.53374763010485e-12,-4.87835821710981e-11)
