# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
500.8 (0,0,0)
501 (0,0,0)
501.2 (0,0,0)
501.4 (0,0,0)
501.6 (0,0,0)
501.8 (0,0,0)
502 (0,0,0)
502.2 (0,0,0)
502.4 (0,0,0)
502.6 (0,0,0)
502.8 (0,0,0)
503 (0,0,0)
503.2 (0,0,0)
503.4 (0,0,0)
503.6 (0,0,0)
503.8 (0,0,0)
504 (0,0,0)
504.2 (0,0,0)
504.4 (0,0,0)
504.6 (0,0,0)
504.8 (0,0,0)
505 (0,0,0)
505.2 (0,0,0)
505.4 (0,0,0)
505.6 (0,0,0)
505.8 (0,0,0)
506 (0,0,0)
506.2 (0,0,0)
506.4 (0,0,0)
506.6 (0,0,0)
506.8 (0,0,0)
507 (0,0,0)
507.2 (0,0,0)
507.4 (0,0,0)
507.6 (0,0,0)
507.8 (0,0,0)
508 (0,0,0)
508.2 (0,0,0)
508.4 (0,0,0)
508.6 (0,0,0)
508.8 (0,0,0)
509 (0,0,0)
509.2 (0,0,0)
509.4 (0,0,0)
509.6 (0,0,0)
509.8 (0,0,0)
510 (0,0,0)
510.2 (0,0,0)
510.4 (0,0,0)
510.6 (0,0,0)
510.8 (0,0,0)
511 (0,0,0)
511.2 (0,0,0)
511.4 (0,0,0)
511.6 (0,0,0)
511.8 (0,0,0)
512 (0,0,0)
512.2 (0,0,0)
512.4 (0,0,0)
512.6 (0,0,0)
512.8 (0,0,0)
513 (0,0,0)
513.2 (0,0,0)
513.4 (0,0,0)
513.6 (0,0,0)
513.8 (0,0,0)
514 (0,0,0)
514.2 (0,0,0)
514.4 (0,0,0)
514.6 (0,0,0)
514.8 (0,0,0)
515 (0,0,0)
515.2 (0,0,0)
515.4 (0,0,0)
515.6 (0,0,0)
515.8 (0,0,0)
516 (0,0,0)
516.2 (0,0,0)
516.4 (0,0,0)
516.6 (0,0,0)
516.8 (0,0,0)
517 (0,0,0)
517.2 (0,0,0)
517.4 (0,0,0)
517.6 (0,0,0)
517.8 (0,0,0)
518 (0,0,0)
518.2 (0,0,0)
518.4 (0,0,0)
518.6 (0,0,0)
518.8 (0,0,0)
519 (0,0,0)
519.2 (0,0,0)
519.4 (0,0,0)
519.6 (0,0,0)
519.8 (0,0,0)
520 (0,0,0)
520.2 (0,0,0)
520.4 (0,0,0)
520.6 (0,0,0)
520.8 (-4.90682174493726e-09,3.61589224463626e-12,-1.4292758334912e-10)
521 (0,0,0)
521.2 (0,0,0)
521.4 (0,0,0)
521.6 (0,0,0)
521.8 (0,0,0)
522 (0,0,0)
522.2 (0,0,0)
522.4 (0,0,0)
522.6 (0,0,0)
522.8 (0,0,0)
523 (0,0,0)
523.2 (0,0,0)
523.4 (0,0,0)
523.6 (0,0,0)
523.8 (0,0,0)
524 (0,0,0)
524.2 (0,0,0)
524.4 (0,0,0)
524.6 (0,0,0)
