# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
497 (0,0,0)
497.2 (0,0,0)
497.4 (0,0,0)
497.6 (0,0,0)
497.8 (0,0,0)
498 (0,0,0)
498.2 (0,0,0)
498.4 (0,0,0)
498.6 (0,0,0)
498.8 (0,0,0)
499 (0,0,0)
499.2 (0,0,0)
499.4 (0,0,0)
499.6 (0,0,0)
499.8 (0,0,0)
500 (0,0,0)
500.2 (0,0,0)
500.4 (0,0,0)
500.6 (0,0,0)
500.8 (0,0,0)
501 (0,0,0)
501.2 (0,0,0)
501.4 (0,0,0)
501.6 (0,0,0)
501.8 (0,0,0)
502 (0,0,0)
502.2 (0,0,0)
502.4 (0,0,0)
502.6 (0,0,0)
502.8 (0,0,0)
503 (0,0,0)
503.2 (0,0,0)
503.4 (0,0,0)
503.6 (0,0,0)
503.8 (0,0,0)
504 (0,0,0)
504.2 (0,0,0)
504.4 (0,0,0)
504.6 (0,0,0)
504.8 (0,0,0)
505 (0,0,0)
505.2 (0,0,0)
505.4 (0,0,0)
505.6 (0,0,0)
505.8 (0,0,0)
506 (0,0,0)
506.2 (0,0,0)
506.4 (0,0,0)
506.6 (0,0,0)
506.8 (0,0,0)
507 (0,0,0)
507.2 (0,0,0)
507.4 (0,0,0)
507.6 (0,0,0)
507.8 (0,0,0)
508 (0,0,0)
508.2 (0,0,0)
508.4 (0,0,0)
508.6 (0,0,0)
508.8 (0,0,0)
509 (0,0,0)
509.2 (0,0,0)
509.4 (0,0,0)
509.6 (0,0,0)
509.8 (0,0,0)
510 (0,0,0)
510.2 (0,0,0)
510.4 (0,0,0)
510.6 (0,0,0)
510.8 (0,0,0)
511 (0,0,0)
511.2 (0,0,0)
511.4 (0,0,0)
511.6 (0,0,0)
511.8 (0,0,0)
512 (0,0,0)
512.2 (0,0,0)
512.4 (0,0,0)
512.6 (0,0,0)
512.8 (0,0,0)
513 (0,0,0)
513.2 (0,0,0)
513.4 (0,0,0)
513.6 (0,0,0)
513.8 (0,0,0)
514 (0,0,0)
514.2 (0,0,0)
514.4 (0,0,0)
514.6 (0,0,0)
514.8 (0,0,0)
515 (0,0,0)
515.2 (0,0,0)
515.4 (0,0,0)
515.6 (0,0,0)
515.8 (0,0,0)
516 (0,0,0)
516.2 (0,0,0)
516.4 (0,0,0)
516.6 (0,0,0)
516.8 (0,0,0)
517 (5.9798541676058e-13,5.28753410253275e-13,5.51655577391917e-12)
517.2 (1.38289960892123e-12,-4.97168878789972e-13,-5.12540505987334e-12)
517.4 (-8.21822884574768e-12,8.20186547463343e-13,8.212784364134e-12)
517.6 (2.62827000055046e-11,-1.95084266983376e-11,-2.02592387670414e-10)
517.8 (-3.80632371117712e-11,1.58096469414648e-11,1.63207054874262e-10)
518 (-2.38829983216872e-12,-3.7306362265175e-13,-4.48303790285043e-12)
518.2 (2.38843490697503e-12,3.7319012747691e-13,4.48293953829868e-12)
518.4 (2.29910360371562e-11,-7.07092018250353e-13,-1.01528762772563e-11)
518.6 (-1.69037098814831e-09,1.71018795446432e-11,2.72971292714718e-10)
518.8 (1.6667414335022e-09,-1.62576235325552e-11,-2.65253275727412e-10)
519 (1.11027910918727e-12,2.6103876760257e-13,2.8168120803853e-12)
519.2 (-1.27028734247315e-15,-8.122323420072e-16,-5.35593271163901e-14)
519.4 (0,0,0)
519.6 (-4.68430082955059e-14,7.3820275553592e-15,-2.56503798786755e-14)
519.8 (0,0,0)
520 (-6.02710702233675e-15,8.8778094355708e-15,5.18534487536967e-15)
520.2 (0,0,0)
520.4 (0,0,0)
520.6 (-2.498120352927e-15,2.49313231901311e-15,-2.63632962970226e-15)
520.8 (-1.09717196686248e-09,4.70590201558292e-11,4.48582089369814e-10)
521 (8.3566710243122e-10,-3.39181459391948e-11,-3.47088252165335e-10)
521.2 (-1.40616980006744e-10,-6.00993249915066e-12,-6.17545425289193e-11)
521.4 (5.19703841496939e-11,9.61415926996018e-13,8.71984641096183e-12)
521.6 (7.11671110510481e-12,1.28748535182111e-13,1.1380667959233e-12)
521.8 (1.64068989391752e-10,-3.07911491808697e-12,-3.39841634892447e-11)
522 (-1.6419886427114e-10,3.09004635887269e-12,3.3945033760939e-11)
522.2 (0,0,0)
522.4 (0,0,0)
522.6 (0,0,0)
522.8 (0,0,0)
523 (1.61836310682398e-14,9.25840748234468e-15,4.35737375741747e-14)
523.2 (0,0,0)
523.4 (-6.86853201633559e-15,1.45955204031389e-14,-2.40886815428024e-14)
523.6 (0,0,0)
523.8 (0,0,0)
524 (0,0,0)
524.2 (0,0,0)
524.4 (0,0,0)
524.6 (0,0,0)
524.8 (0,0,0)
525 (0,0,0)
525.2 (-5.28443774881379e-14,2.27687308900688e-15,3.36299348497398e-15)
525.4 (-7.97777556626404e-14,2.22150282627479e-14,5.6031486010805e-14)
525.6 (0,0,0)
525.8 (-1.09946404880145e-15,1.13567305760492e-16,-5.76235423699652e-16)
526 (0,0,0)
526.2 (0,0,0)
526.4 (0,0,0)
526.6 (0,0,0)
526.8 (0,0,0)
527 (0,0,0)
527.2 (0,0,0)
527.4 (0,0,0)
527.6 (0,0,0)
527.8 (0,0,0)
528 (0,0,0)
528.2 (0,0,0)
528.4 (0,0,0)
528.6 (0,0,0)
528.8 (0,0,0)
529 (0,0,0)
529.2 (0,0,0)
529.4 (0,0,0)
529.6 (0,0,0)
529.8 (0,0,0)
530 (0,0,0)
530.2 (0,0,0)
530.4 (0,0,0)
530.6 (0,0,0)
530.8 (0,0,0)
531 (0,0,0)
531.2 (0,0,0)
531.4 (0,0,0)
531.6 (0,0,0)
531.8 (0,0,0)
532 (0,0,0)
532.2 (0,0,0)
532.4 (0,0,0)
532.6 (0,0,0)
532.8 (0,0,0)
533 (0,0,0)
533.2 (0,0,0)
533.4 (0,0,0)
533.6 (0,0,0)
533.8 (0,0,0)
534 (0,0,0)
534.2 (0,0,0)
534.4 (0,0,0)
534.6 (0,0,0)
534.8 (0,0,0)
535 (0,0,0)
535.2 (0,0,0)
535.4 (0,0,0)
535.6 (0,0,0)
535.8 (0,0,0)
536 (0,0,0)
536.2 (0,0,0)
536.4 (0,0,0)
536.6 (0,0,0)
536.8 (4.1098553786179e-11,5.90804548482576e-13,4.66056492519526e-12)
537 (3.13503871165355e-11,-4.11962364624232e-12,-4.44955176611778e-11)
